27	7	1054	0	-1	0	63
42	4	1064	0	-2	0	78
22	0	1061	0	-1	0	92
23	14	1051	0	-1	0	107
80	12	1067	0	-4	0	122
82	5	1062	0	-4	0	136
58	4	1082	0	-3	0	150
11	11	1072	0	0	0	178
1	-2	1080	0	0	0	192
7	7	1074	0	0	0	206
4	15	1055	0	0	0	220
-7	9	1075	0	0	0	234
-15	-3	1062	0	0	0	249
-1	0	1072	0	0	0	263
38	26	1048	1	-2	0	291
7	6	1067	0	0	0	305
-13	-3	1058	0	0	0	0
-1	0	1033	0	0	0	16
-14	7	1058	0	0	0	31
-5	18	1071	0	0	0	45
42	9	1069	0	-2	0	59
24	3	1066	0	-1	0	89
41	14	1055	0	-2	0	103
22	16	1078	0	-1	0	117
20	-9	1063	0	-1	0	131
9	3	1072	0	0	0	146
33	7	1059	0	-1	0	160
46	1	1061	0	-2	0	174
24	5	1072	0	-1	0	216
20	0	1062	0	-1	0	230
16	4	1072	0	0	0	244
19	4	1066	0	-1	0	259
37	11	1065	0	-2	0	273
39	12	1065	0	-2	0	1
15	15	1023	0	0	0	17
32	4	1061	0	-1	0	45
7	0	1068	0	0	0	59
4	-3	1065	0	0	0	74
4	10	1069	0	0	0	88
11	12	1065	0	0	0	102
19	12	1062	0	-1	0	115
27	8	1065	0	-1	0	129
25	1	1062	0	-1	0	157
13	4	1065	0	0	0	171
26	4	1065	0	-1	0	185
34	7	1065	0	-1	0	199
35	4	1065	0	-1	0	213
28	4	1072	0	-1	0	226
13	0	1066	0	0	0	240
8	4	1065	0	0	0	268
4	7	1065	0	0	0	283
11	4	1072	0	0	0	297
22	8	1062	0	-1	0	311
16	4	1065	0	0	0	325
19	8	1065	0	-1	0	338
23	4	1069	0	-1	0	352
27	4	1065	0	-1	0	367
17	7	1072	0	0	0	395
16	4	1062	0	0	0	409
16	4	1065	0	0	0	423
19	4	1069	0	-1	0	437
23	4	1069	0	-1	0	451
24	4	1065	0	-1	0	466
20	4	1069	0	-1	0	481
5	7	1065	0	0	0	509
4	11	1065	0	0	0	525
11	5	1065	0	0	0	539
22	4	1065	0	-1	0	553
38	4	1065	0	-2	0	568
32	4	1069	0	-1	0	583
28	7	1065	0	-1	0	597
16	8	1073	0	0	0	625
9	8	1062	0	0	0	639
8	8	1061	0	0	0	653
8	8	1068	0	0	0	668
15	4	1065	0	0	0	682
12	4	1065	0	0	0	696
15	4	1061	0	0	0	710
9	4	1065	0	0	0	724
15	4	1065	0	0	0	752
23	4	1065	0	-1	0	766
27	4	1065	0	-1	0	779
24	4	1065	0	-1	0	794
20	4	1069	0	-1	0	808
9	7	1062	0	0	0	822
1	8	1061	0	0	0	836
25	8	1069	0	-1	0	864
31	4	1069	0	-1	0	879
24	8	1069	0	-1	0	894
20	8	1062	0	-1	0	908
16	8	1061	0	0	0	922
12	4	1061	0	0	0	936
15	4	1068	0	0	0	949
16	7	1065	0	0	0	977
19	8	1061	0	-1	0	991
16	4	1065	0	0	0	1005
19	0	1069	0	-1	0	1019
23	4	1065	0	-1	0	1033
20	4	1062	0	-1	0	1047
30	7	1065	0	-1	0	1061
17	4	1065	0	0	0	1092
16	7	1065	0	0	0	1107
12	4	1072	0	0	0	1121
15	4	1069	0	0	0	1134
16	7	1062	0	0	0	1148
16	4	1068	0	0	0	1162
16	-3	1065	0	0	0	1177
16	7	1069	0	0	0	1206
16	8	1069	0	0	0	1220
16	1	1065	0	0	0	1234
23	4	1062	0	-1	0	1248
16	4	1068	0	0	0	1262
16	4	1069	0	0	0	1276
9	4	1069	0	0	0	1293
23	-3	1069	0	-1	0	1321
31	0	1069	0	-1	0	1335
28	7	1069	0	-1	0	1349
20	4	1065	0	-1	0	1364
13	4	1065	0	0	0	1378
15	11	1069	0	0	0	1392
9	5	1065	0	0	0	1406
23	4	1062	0	-1	0	1434
23	7	1072	0	-1	0	1448
9	11	1069	0	0	0	1462
22	5	1065	0	-1	0	1476
20	4	1076	0	-1	0	1492
55	7	1066	0	-2	0	1506
51	4	1065	0	-2	0	1520
12	12	1063	0	0	0	1550
1	1	1075	0	0	0	1565
-7	4	1063	0	0	0	1579
3	7	1068	0	0	0	1594
11	11	1065	0	0	0	1608
22	5	1069	0	-1	0	1622
20	0	1069	0	-1	0	1636
31	7	1073	0	-1	0	1663
31	8	1073	0	-1	0	1677
21	8	1066	0	-1	0	1693
13	4	1069	0	0	0	1706
12	4	1069	0	0	0	1720
8	4	1062	0	0	0	1734
11	7	1061	0	0	0	1748
19	4	1065	0	-1	0	1776
23	7	1069	0	-1	0	1791
20	4	1069	0	-1	0	1805
20	4	1072	0	-1	0	1819
16	7	1062	0	0	0	1833
16	4	1061	0	0	0	1847
16	8	1065	0	0	0	1860
16	4	1061	0	0	0	1888
16	4	1065	0	0	0	1903
16	4	1065	0	0	0	1917
16	4	1065	0	0	0	1931
19	7	1061	0	-1	0	1945
16	4	1065	0	0	0	1959
12	8	1065	0	0	0	1973
15	4	1065	0	0	0	2001
19	4	1065	0	-1	0	2015
16	4	1069	0	0	0	2029
16	4	1069	0	0	0	2043
26	7	1065	0	-1	0	2057
17	4	1065	0	0	0	2070
12	4	1061	0	0	0	2084
16	4	1068	0	0	0	2114
23	4	1065	0	-1	0	2128
20	7	1072	0	-1	0	2142
23	8	1069	0	-1	0	2156
20	8	1069	0	-1	0	2170
20	4	1065	0	-1	0	2184
23	4	1062	0	-1	0	2198
20	4	1065	0	-1	0	2227
16	4	1065	0	0	0	2241
23	4	1069	0	-1	0	2255
20	-3	1065	0	-1	0	2269
16	3	1065	0	0	0	2283
16	4	1065	0	0	0	2297
16	4	1065	0	0	0	2312
26	4	1065	0	-1	0	2341
20	4	1065	0	-1	0	2354
13	-14	1069	0	0	0	2368
26	2	1069	0	-1	0	2382
10	11	1065	0	0	0	2396
5	5	1065	0	0	0	2411
11	0	1061	0	0	0	2425
27	0	1069	0	-1	0	2453
38	14	1072	0	-2	0	2467
43	19	1069	1	-2	0	2481
50	30	1055	1	-2	0	2495
65	-11	1089	0	-3	0	2509
63	-15	1078	0	-3	0	2524
35	13	1049	0	-1	0	2538
30	5	1078	0	-1	0	2566
10	15	1080	0	0	0	2580
54	-6	1067	0	-2	0	2594
2	17	1062	0	0	0	2608
46	-16	1065	0	-2	0	2625
1	13	1072	0	0	0	2639
9	19	1048	1	0	0	2667
-13	23	1063	1	0	0	2681
-153	91	1065	4	8	0	2696
-104	-26	1111	-1	5	0	2710
-99	-91	1133	-4	4	0	2723
-42	-62	1026	-3	2	0	2737
-1	-20	1086	-1	0	0	2751
55	15	1083	0	-2	0	2779
23	-9	1063	0	-1	0	2793
91	-19	1075	0	-4	0	2806
73	2	1055	0	-3	0	2822
92	4	1057	0	-4	0	2837
98	0	1047	0	-5	0	2850
109	7	1074	0	-5	0	2864
68	-4	1065	0	-3	0	2892
56	3	1069	0	-3	0	2906
34	18	1062	0	-1	0	2920
18	5	1068	0	0	0	2934
37	1	1065	0	-2	0	2947
57	-3	1065	0	-3	0	2961
48	1	1064	0	-2	0	3003
26	0	1065	0	-1	0	3017
17	11	1069	0	0	0	3031
16	12	1072	0	0	0	3044
-2	12	1080	0	0	0	3059
-11	12	1081	0	0	0	3073
-25	7	1069	0	1	0	3101
-10	8	1069	0	0	0	3116
-8	8	1069	0	0	0	3130
-4	11	1072	0	0	0	3144
0	8	1066	0	0	0	3159
25	4	1069	0	-1	0	3173
31	8	1062	0	-1	0	3186
32	4	1065	0	-1	0	3214
28	-3	1065	0	-1	0	3228
35	14	1061	0	-1	0	3244
32	12	1068	0	-1	0	3258
31	12	1069	0	-1	0	3271
24	1	1069	0	-1	0	3285
13	0	1072	0	0	0	3299
16	11	1069	0	0	0	3328
9	5	1065	0	0	0	3342
11	8	1065	0	0	0	3356
19	8	1065	0	-1	0	3370
23	4	1061	0	-1	0	3384
24	0	1065	0	-1	0	3398
27	4	1065	0	-1	0	3412
16	4	1069	0	0	0	3440
16	4	1065	0	0	0	3454
