4	26	1016	0	1	0	17
7	10	1060	0	0	0	32
4	8	1068	0	0	0	46
-3	8	1065	0	0	0	60
0	11	1069	0	0	0	74
14	12	1065	0	0	0	88
19	15	1065	-1	0	0	102
19	23	1073	-1	1	0	130
20	24	1069	-1	1	0	146
23	20	1073	-1	1	0	161
27	20	1076	-1	1	0	175
31	16	1073	-1	0	0	189
28	16	1069	-1	0	0	203
13	19	1062	0	1	0	217
16	24	1071	0	1	0	248
9	27	1073	0	1	0	262
15	17	1066	0	0	0	276
23	19	1069	-1	1	0	290
23	20	1072	-1	1	0	305
20	23	1069	-1	1	0	4
23	20	1019	-1	1	0	18
31	23	1058	-1	1	0	47
10	20	1064	0	1	0	61
1	16	1068	0	0	0	75
-3	19	1069	0	1	0	92
0	23	1065	0	1	0	106
0	31	1065	0	1	0	120
7	24	1061	0	1	0	137
16	20	1076	0	1	0	180
19	13	1070	-1	0	0	194
9	22	1062	0	1	0	208
8	23	1068	0	1	0	222
1	24	1062	0	1	0	237
0	24	1061	0	1	0	252
7	20	1068	0	1	0	266
19	27	1069	-1	1	0	295
16	27	1073	0	1	0	309
12	24	1069	0	1	0	323
12	24	1062	0	1	0	338
8	24	1068	0	1	0	353
8	20	1069	0	1	0	367
8	23	1069	0	1	0	381
15	24	1069	0	1	0	412
12	27	1065	0	1	0	426
8	20	1065	0	1	0	441
15	30	1065	0	1	0	455
12	21	1065	0	1	0	469
8	13	1065	0	0	0	483
1	19	1065	0	1	0	497
4	23	1065	0	1	0	525
7	24	1065	0	1	0	539
11	20	1069	0	1	0	554
8	20	1062	0	1	0	568
8	16	1068	0	0	0	582
8	19	1069	0	1	0	596
11	23	1062	0	1	0	610
8	24	1065	0	1	0	640
4	17	1065	0	0	0	655
4	16	1065	0	0	0	669
7	19	1069	0	1	0	683
4	23	1065	0	1	0	697
11	20	1072	0	1	0	711
8	20	1066	0	1	0	725
11	23	1066	0	1	0	756
8	20	1065	0	1	0	770
8	23	1065	0	1	0	784
4	20	1069	0	1	0	798
8	20	1065	0	1	0	812
8	16	1065	0	0	0	826
11	19	1065	0	1	0	840
4	24	1061	0	1	0	885
8	24	1068	0	1	0	899
4	20	1065	0	1	0	914
11	20	1065	0	1	0	928
8	23	1061	0	1	0	942
8	24	1061	0	1	0	959
4	17	1068	0	0	0	973
7	24	1069	0	1	0	1001
8	16	1069	0	0	0	1015
